Name,Mean,stdev
layer_0,0.0005711542724654267,0.007027204756061604
layer_1,-5.3458510268447215e-05,0.00011907935069672793
layer_2,-1.3944141737037838e-05,3.066004856270538e-05
layer_3,-2.7364851371561863e-06,6.764709387716456e-06
layer_4,0.0,0.0
layer_5,0.0,0.0
layer_6,0.0,0.0
layer_7,0.0,0.0
layer_8,0.0,0.0
layer_9,0.0,0.0
